lnTotalAssets,lnTobinQ,lnRDStock_TangFixedAssets,lnPatentStock_RDStock,lnCitesStock_PatentStock
11.78091,-2.571081,1.722523,0.8254584,2.29963
12.11086,-3.649447,0.5657726,-0.3596699,-2.322875
17.40719,-4.606658,-0.0428232,-4.045543,0.7057911
13.08657,-5.941545,2.385111,-2.998525,1.444362
13.02977,-4.532865,1.162768,1.997298,2.428047
14.53978,-4.536433,-0.7555647,2.464856,0.5670584
14.28389,-4.273433,-0.0578641,0.7267665,1.468445
14.73158,-6.715892,-0.8523137,-1.929265,0.5092151
14.58979,-4.796228,1.129047,0.035034,0.5301264
9.399555,-4.290344,3.493234,1.404208,0.7054046
12.71213,-3.328321,1.687946,1.465308,0.5273532
13.60489,-6.011437,-1.028303,-1.184109,0
16.98506,-6.703804,-0.5003566,-2.144948,1.419091
13.91159,-4.393049,0.5906559,-1.770826,-0.0548083
16.37743,-6.295296,-1.04183,-1.493917,1.250521
17.10629,-5.988432,-0.8245198,-3.175735,-0.0533215
12.62727,-5.618041,2.259455,-0.6579468,-2.879097
12.99431,-6.858198,-0.6653875,-1.064427,0.7467107
14.43065,-5.632783,1.636063,-0.7964794,1.039062
15.45313,-6.710398,0.4285574,-0.7451365,0.1299898
17.55555,-5.790664,0.1324192,-5.192662,0.0101524
15.51054,-6.151037,-1.475027,-1.691138,1.279693
16.2778,-6.232219,-3.122872,-2.117065,0
13.16456,-4.813566,1.047273,0.4902046,0.9004623
12.59251,-5.768737,-1.504456,2.501993,-0.3654345
12.98865,-4.106041,1.343208,2.148758,2.451911
13.99274,-4.833589,1.025675,-2.322728,0.0859025
12.97977,-6.823456,-1.201982,-0.9393627,-0.2058521
18.57229,-3.032471,-0.2485132,1.148978,2.69981
12.50266,-4.49701,2.605884,0.9384143,2.171859
12.45065,-4.330575,0.637909,1.543144,0.77394
13.31907,-6.926555,-0.0478153,-1.977518,-0.8885722
15.67822,-6.259792,-0.7652146,-1.488079,0.5053954
16.89088,-6.989912,-1.815328,-1.415706,2.282006
12.61418,-5.636315,-0.5861983,-0.4422085,1.625698
13.3644,-6.41045,-0.8857006,0.525482,-1.182336
12.90255,-7.249745,-0.8551418,-0.6092331,0.6658636
13.44854,-6.753809,0.4203416,-3.021747,0
14.32259,-5.109323,0.5991783,-1.766542,1.517687
15.97054,-4.007013,0.7325196,-2.032723,0.8935322
12.8987,-1.426089,3.463455,-0.0580103,0.9442871
16.59186,-4.762809,1.321444,-4.149484,0.526015
11.11337,-5.234428,0.6554608,-0.8890841,-0.0811805
17.53247,-5.546732,0.1412654,-4.649423,0.6353492
14.98731,-2.550173,3.113142,-0.4274122,1.608873
14.71892,-4.654754,-0.4161415,1.012869,2.016405
14.77731,-5.219465,0.3376862,-1.84582,0.8773401
17.44267,-5.696347,0.9391618,-4.844237,0.1347656
13.8128,-6.844113,-2.17942,1.83235,-3.402272
18.19004,-5.890572,-0.9628062,-1.00451,0.2651497
18.04756,-5.520514,0.2339941,-5.458154,0.3904984
18.79599,-5.941476,-0.396224,-2.545085,4.989932
15.73412,-4.210513,-0.0824389,-2.575828,2.985952
14.81104,-4.729783,-0.0402894,-1.408606,0.3875927
8.508152,-5.241747,0.9244795,-0.2820731,-0.4895486
14.47653,-5.08287,0.653071,-0.1795809,-1.877696
16.3708,-5.848043,0.1896601,-0.7449248,3.928443
13.66596,-6.323409,-2.260171,-1.009925,0
17.31898,-6.521069,-1.071853,-2.027531,2.088412
14.32607,-5.767416,-0.9671335,2.259328,1.923463
15.31573,-5.376677,0.6378337,0.561117,1.409117
14.38155,-4.529237,2.049967,0.7156485,2.839276
15.14692,-6.688509,-0.0708113,-1.071104,0.3871225
13.92578,-5.913446,-1.061923,-0.1075289,2.17707
17.70552,-5.533059,0.0713544,-0.321766,1.965954
12.19014,-6.064697,0.5839731,-1.603215,0
10.75274,-2.311691,3.847322,-0.315612,-0.287884
13.97369,-3.635564,2.087168,-2.175908,1.455483
15.39269,-6.017968,0.1486912,-0.1341574,1.935244
14.74803,-6.869172,-1.082858,-1.095293,-0.5549523
10.1023,-3.685526,2.722354,2.040407,0
15.64603,-4.772088,0.8615751,-3.220214,0.5615265
13.20755,-3.782055,1.306644,2.673886,1.353163
18.28251,-3.797332,1.823434,-5.106305,2.051428
15.19517,-5.87935,-0.2491517,-0.7472651,-0.0516971
16.24402,-7.593822,-3.054286,-0.8912222,-0.828553
13.67414,-6.003633,-0.7018091,-0.9280893,0.7737657
14.03727,-5.86507,-2.245343,2.135098,1.051173
13.58712,-2.831789,1.565954,-0.8647663,1.352636
13.15271,-5.274664,-1.403506,0.9171579,0.5933468
12.97777,-1.426524,2.761193,2.705349,2.913773
16.24989,-5.548248,-1.995913,-2.094238,0.4913794
17.30006,-6.488836,-0.2063908,-4.46782,2.396375
14.71026,-5.018476,-0.5349874,2.360079,2.535968
13.6049,-4.812729,1.055339,1.830746,3.171369
16.8035,-6.932707,-1.538717,-0.9701083,0.7204667
15.41387,-6.642488,-1.171492,-0.7362129,-0.1496971
13.81148,-6.501317,-1.857574,0.3124187,-2.459771
14.49123,-6.347,-0.0822858,-1.143354,0.8871204
14.05515,-6.428511,-0.9972903,0.5096253,0
16.69506,-5.371294,1.128666,-5.561498,0.5828061
16.42729,-5.772193,-0.6428048,-0.8902103,1.337751
19.01727,-6.982177,-0.7079431,-2.78849,2.140018
14.39056,-7.009544,-1.235773,-0.8618767,0.0571585
12.7003,-5.055092,0.214469,1.45413,0.7876207
13.95196,-3.431896,-0.9532203,3.189572,1.663598
15.39167,-7.090506,-1.714167,-0.9531214,0.1567364
17.52086,-5.807554,0.3058087,-0.8583423,0.9678602
18.95642,-7.087408,-3.792369,-3.056293,0.4749996
14.3313,-5.828689,-0.5743474,-0.0840446,1.587592
13.26091,-7.368403,-0.7601339,-0.9892151,-0.1840037
14.36137,-4.52843,-0.6786603,1.834512,2.693826
14.21195,-8.244523,-1.63318,-0.1954968,0
16.02863,-6.425903,-1.693567,-0.1177895,-1.211552
15.22452,-6.391846,-1.784689,-1.056922,-1.53613
14.7874,-6.485078,0.8520933,-4.198205,0
14.03409,-6.442291,-2.638376,1.106885,0.6776941
15.62539,-6.559509,-0.8775268,0.6286963,-0.410715
16.34811,-5.028267,1.335386,-5.245759,1.378574
15.51862,-4.644135,2.328613,-3.582662,2.266817
11.60344,-4.244864,1.80606,0.7022179,-0.7257533
13.03019,-6.10134,0.0830526,-0.3827527,-0.8745865
15.75703,-4.359535,-0.2574453,-1.665783,1.408862
12.45487,-4.245399,2.067492,-1.660756,0
12.59707,-4.413112,1.718484,0.7104968,0.839107
14.49751,-6.329539,-1.377313,-1.695669,-1.496295
12.68341,-5.127367,1.415736,0.4628837,0
12.50977,-4.944258,1.852998,1.85718,2.263798
14.26566,-2.12446,2.215646,0.2412908,2.665721
13.93726,-3.66787,2.290042,0.623287,3.324022
16.31578,-4.063807,-1.194887,0.4712169,0.7134639
13.47193,-6.981031,-1.640203,-1.230554,-0.6042
12.7908,-6.293585,-1.561061,-0.9349682,0
10.7225,-4.673013,2.476655,-0.4629709,-0.1466035
13.69351,-3.910473,1.05885,3.646796,0.7421481
10.36031,-5.854094,2.09717,3.206167,2.78288
13.57281,-6.16528,-0.6011156,-2.38078,-0.0241849
13.62861,-4.97497,-1.519041,-0.0176527,0
16.08694,-6.910777,-0.4504384,-2.196018,0.5047448
16.4754,-6.706645,-0.916963,-2.317964,0.9452603
12.17998,-7.556334,-0.7398552,-0.1615364,0
17.29938,-6.314172,0.2667351,-3.02851,2.546607
15.57393,-7.285198,-1.029313,0.1554926,0.8954161
13.23958,-6.074363,-0.3761042,3.018797,0
12.80252,-8.546941,-0.1496601,1.135032,2.532575
13.5556,-6.720721,0.6331535,-2.053117,0
14.18594,-6.05524,0.1104165,-2.026759,2.16564
17.40947,-6.554638,0.8113275,-0.8499539,1.384976
12.45672,-5.45366,-0.2702541,0.0268057,-1.124285
14.6625,-5.481536,1.365898,0.7251766,0.9948811
16.11284,-7.449977,-1.217797,-1.444894,0.7848378
13.70034,-6.534672,0.6230521,-0.5072634,0.7192645
14.36007,-6.493535,-0.7194234,-0.9718754,0
16.74267,-4.88116,-1.200857,-0.7176105,0.565373
15.81223,-5.068349,-0.0890698,-3.408746,0
13.31646,-6.95402,-0.9550418,0.8193853,1.543233
13.52497,-6.964502,0.3158464,-3.209625,0.5158549
