state,STATE1,year,lnsG_R_AppTot2931,lnsG_R10_AppTot2931,lnsfood,lnsagri,YY1,YY2,YY3,YY4,YY5,YY6,YY7,YY8,YY9,YY10,YY11,YY12,YY13,YY14,YY15,YY16,YY17
AL,AL,2006,-3.204192,-3.544953,-3.376828,-1.630417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AL,AL,2007,-2.965774,-3.36183,-3.169756,-1.548226,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL,AL,2008,-2.930241,-3.288334,-2.115995,-1.532329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AL,AL,2009,-2.842341,-3.168748,-1.546925,-1.945896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AL,AL,2010,-2.816487,-3.148399,-2.217824,-1.464761,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,AL,2011,-2.718467,-3.021671,-1.567666,-1.878757,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AL,AL,2012,-2.705704,-2.982006,-1.482323,-2.324327,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AL,AL,2013,-2.582942,-2.838146,-1.46829,-2.316055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL,AL,2014,-2.469269,-2.668551,-1.634759,-1.716364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AL,AL,2015,-2.587985,-2.77749,-1.931975,-1.810312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AR,AR,2006,-3.850322,-4.543386,-2.861887,-3.780829,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AR,AR,2007,-3.698551,-4.357904,-2.561163,-3.437929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AR,AR,2008,-3.672713,-4.333695,-2.408731,-2.754393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AR,AR,2009,-3.558047,-4.355721,-2.4267,-3.19282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AR,AR,2010,-3.391246,-4.156701,-2.325875,-2.737603,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AR,AR,2011,-3.312368,-4.020659,-2.171265,-2.508231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AR,AR,2012,-3.283088,-3.938408,-2.232016,-2.522406,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AR,AR,2013,-3.234379,-3.821365,-2.22423,-2.81283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AR,AR,2014,-3.236603,-3.796522,-2.239752,-3.163006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AR,AR,2015,-3.393814,-3.938921,-2.415253,-2.900963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AZ,AZ,2006,-0.9833962,-1.339421,-1.315983,-0.572477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AZ,AZ,2007,-0.8421884,-1.245536,-0.9711693,-0.2385065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AZ,AZ,2008,-0.6905748,-1.108638,-0.625221,-0.1588629,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AZ,AZ,2009,-0.577819,-0.9383997,-0.9584466,-0.1198528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ,AZ,2010,-0.3853915,-0.7437047,-0.6654199,0.2178971,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AZ,AZ,2011,-0.2330327,-0.5654389,-0.2934985,0.4419549,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZ,AZ,2012,-0.1151264,-0.4044735,-0.2149729,0.4401943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AZ,AZ,2013,0.037251,-0.2170423,-0.0372447,0.4752825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AZ,AZ,2014,0.1834846,-0.0373551,0.2673522,0.429808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AZ,AZ,2015,0.1657591,-0.062628,0.3027944,0.6161998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA,CA,2006,-0.6152599,-1.074811,-0.5585123,-0.3068571,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CA,CA,2007,-0.5384455,-1.002547,-0.4215473,-0.2459787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CA,CA,2008,-0.4931822,-0.9443385,-0.1893972,-0.1158043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CA,CA,2009,-0.4506877,-0.8824379,-0.3373035,-0.0889911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CA,CA,2010,-0.3799645,-0.802848,-0.1863985,0.0943773,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CA,CA,2011,-0.301236,-0.6857083,-0.0006515,0.2288822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CA,CA,2012,-0.215268,-0.5730858,0.0271019,0.3519503,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CA,CA,2013,-0.1464931,-0.4786472,0.1720693,0.499749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CA,CA,2014,-0.1055341,-0.4112717,0.1948754,0.493095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CA,CA,2015,-0.247951,-0.5440815,0.0795176,0.483521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CO,CO,2006,-2.802927,-3.536661,-2.771295,-5.823647,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CO,CO,2007,-2.783783,-3.463271,-2.571339,-5.766858,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CO,CO,2008,-2.75507,-3.421092,-2.428027,-5.624865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CO,CO,2009,-2.70968,-3.346889,-2.693912,-5.422184,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CO,CO,2010,-2.632129,-3.266379,-2.427474,-5.390283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CO,CO,2011,-2.541303,-3.11673,-2.215745,-5.160967,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CO,CO,2012,-2.465091,-3.018263,-2.124584,-5.097351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,CO,2013,-2.413964,-2.943954,-2.048637,-5.4095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,CO,2014,-2.388093,-2.89158,-1.971886,-4.910331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
