Renew,Figure,NumberApplicants,NumbWords,NumbChars,NumberOfClasses,product,appnumber
0,0,1,1,7,1,1,2848976
0,0,1,2,16,1,1,2849891
1,1,1,2,12,4,1,2860187
0,1,1,1,7,2,1,2867497
0,1,1,5,30,4,1,2893709
1,1,1,1,7,3,0,2912343
0,1,1,4,22,7,1,2924074
1,1,1,1,6,2,1,2924801
1,1,1,3,21,1,1,2928943
1,0,1,1,6,1,1,2932821
1,0,1,1,10,3,1,2940914
0,1,1,1,6,3,1,2941367
1,0,1,2,34,3,1,2945129
0,1,1,2,9,3,1,2945384
0,1,1,2,22,3,1,2946762
1,0,1,1,7,1,1,2949501
0,1,1,2,21,3,0,2950194
1,1,1,3,17,1,1,2950723
0,1,1,2,13,4,1,2953545
0,0,1,2,6,3,1,2953792
0,0,1,1,6,3,1,2955888
0,0,1,2,8,3,1,2958551
0,1,1,4,31,3,1,2965275
1,0,1,1,16,1,0,2966679
1,0,1,1,3,1,1,2968386
0,1,1,1,7,3,1,2968428
1,1,1,1,6,3,1,2969061
0,0,1,1,5,2,0,2969137
0,1,1,1,8,3,1,2970184
1,1,1,1,6,3,1,2970192
0,0,1,1,7,3,1,2970721
0,0,1,3,23,2,1,2972420
1,1,1,1,7,3,1,2973618
1,1,1,2,12,2,1,2974483
1,1,1,4,20,2,1,2974517
1,1,1,4,23,2,1,2974525
1,1,1,3,28,3,1,2976074
0,1,1,1,4,2,1,2976454
0,1,1,4,25,1,1,2976900
1,1,1,3,16,3,1,2977338
0,0,1,1,7,3,1,2977346
1,0,1,3,18,1,0,2977452
1,1,1,6,50,3,1,2977593
1,1,1,4,46,3,1,2977891
0,1,1,4,27,1,1,2977924
0,0,1,1,12,1,1,2978443
0,0,1,1,9,1,1,2978732
0,0,1,1,12,1,1,2978781
0,0,1,1,10,3,1,2978799
1,1,1,1,5,4,1,2981173
1,0,1,3,12,1,0,2982270
0,0,1,2,7,5,0,2982551
0,1,1,6,38,3,1,2982932
0,0,1,2,16,2,1,2983153
0,1,1,2,14,3,0,2983187
0,0,1,1,4,3,1,2983195
1,0,1,4,18,2,1,2983211
1,0,1,2,7,2,1,2983237
0,0,1,1,8,3,1,2983245
1,1,1,1,2,1,1,2983286
0,0,1,1,9,3,1,2983328
0,1,1,1,6,1,1,2983336
0,0,1,2,16,1,1,2983344
0,1,1,2,16,1,1,2983451
1,1,1,4,20,1,0,2983484
0,0,1,1,6,1,1,2983492
0,1,1,1,8,3,1,2983501
1,1,1,3,14,1,1,2983526
0,0,1,1,7,4,1,2983534
1,0,1,1,6,1,1,2983716
0,0,1,1,10,3,1,2984086
0,0,1,1,10,3,1,2984102
0,1,1,1,8,3,1,2984144
1,0,1,1,5,1,1,2984292
1,0,1,1,10,4,1,2984318
1,1,1,3,26,3,1,2984631
1,1,1,1,5,3,0,2985109
1,0,1,1,7,3,0,2985844
0,0,1,1,9,5,1,2986107
1,1,1,1,3,2,1,2986181
1,1,1,1,8,2,1,2988111
1,1,1,1,8,3,1,2990406
1,0,1,2,7,2,1,2990711
0,0,1,2,10,1,1,2990778
1,1,1,1,4,3,1,2990851
0,1,1,3,13,1,1,2990901
1,1,1,1,6,3,1,2991370
0,0,1,1,9,3,1,2992907
1,0,1,3,6,3,1,2993343
1,1,1,1,8,3,1,2993376
1,0,1,1,7,2,1,2993384
1,1,1,2,9,3,1,2993434
1,1,1,2,24,7,1,2993517
1,0,1,1,10,2,1,2993525
1,0,1,1,9,3,1,2993558
1,0,1,2,13,3,1,2993574
1,0,1,2,23,3,0,2993582
1,0,1,1,8,3,1,2993657
0,0,1,1,7,1,1,2993699
0,0,1,1,9,2,0,2993723
0,0,1,2,11,3,0,2993731
1,1,1,2,13,3,1,2993749
1,0,1,1,11,2,1,2993764
1,0,1,1,5,2,1,2993806
0,1,1,2,9,3,1,2993822
0,0,1,2,5,1,1,2993830
0,1,1,1,9,3,0,2993947
0,0,1,2,10,1,1,2993970
1,0,1,1,4,3,1,2993996
0,1,1,3,20,2,1,2994010
0,0,1,1,6,3,1,2994085
0,1,1,5,36,1,1,2994093
1,0,1,1,10,1,1,2994168
1,0,1,1,8,3,1,2994176
1,0,1,1,10,1,1,2994184
1,0,1,1,9,1,1,2994192
1,0,1,1,6,5,1,2994218
1,0,1,1,9,1,1,2994226
0,0,1,2,10,3,1,2994242
1,0,1,1,10,1,1,2994309
0,0,1,1,7,3,1,2994374
0,0,1,1,5,1,1,2994382
0,0,1,1,6,1,1,2994391
0,0,1,1,8,1,1,2994465
0,1,1,2,15,6,1,2994564
1,1,1,4,24,2,1,2994630
1,1,1,3,11,1,1,2994697
0,0,1,1,5,4,1,2994721
1,1,1,1,9,3,1,2994770
0,0,1,1,7,1,1,2994812
0,0,1,2,16,1,1,2994838
1,0,1,1,7,4,1,2994853
1,0,1,1,5,1,1,2994861
1,0,1,3,14,1,1,2994978
1,0,1,1,7,2,1,2995009
1,0,1,1,7,1,1,2995025
1,0,1,1,10,1,1,2995041
1,1,1,1,5,3,1,2995199
1,0,1,1,3,2,1,2995413
0,1,1,10,73,1,1,2995512
0,1,1,3,29,1,0,2995645
0,0,1,2,19,2,1,2995678
1,0,1,2,15,3,1,2995686
1,1,1,4,32,3,1,2995694
0,0,1,3,22,3,1,2995744
1,0,1,1,4,1,1,2995769
0,1,1,3,15,1,1,2995850
1,0,1,2,12,1,1,2995942
1,1,1,2,16,5,1,2995967
1,0,1,1,5,2,1,2996056
0,1,1,2,6,8,1,2996213
0,0,1,1,8,3,1,2996288
0,0,1,2,11,1,1,2996304
0,0,1,1,6,1,1,2996361
0,0,1,1,8,2,1,2996411
1,0,1,1,6,2,1,2996429
0,0,1,1,6,1,1,2996544
0,0,1,2,19,1,1,2996569
